00-avengers-company_business,04-iGMM-company_business
"['consumer defensive', 'retail', 'ecommerce', 'food service', 'hypermarkets', 'consumer services', 'travel and transport']","['healthcare', 'pharmaceutical', 'biotechnology']"
"['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['communication services', 'electronics', 'internet or mobile app based business']"
"['healthcare', 'medical equipment', 'pharmaceutical', 'technology hardware and instruments', 'electronics', 'software products', 'biotechnology', 'capital goods', 'machinery manufacturing', 'software and it', 'technology', 'manufacturing', 'health care diagnostics']",[]
,"['healthcare', 'medical equipment', 'pharmaceutical']"
"['communication services', 'electronics', 'internet or mobile app based business', 'media', 'advertising', 'television services', ""tv's"", 'entertainment', 'artificial intelligence']","['healthcare', 'pharmaceutical', 'biotechnology']"
"['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology', 'medical equipment']","['consumer defensive', 'retail', 'ecommerce']"
"['consumer defensive', 'beverages', 'food products', 'fmcg', 'consumer non durables', 'food and beverage', 'non-alcoholic beverages']","['technology', 'software and it', 'software products']"
"['energy', 'oil and gas', 'chemicals', 'natural gas generation', 'petrochemicals', 'electricity generation']","['technology', 'software and it', 'software products']"
"['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['healthcare', 'pharmaceutical', 'biotechnology']"
"['healthcare', 'pharmaceutical', 'animal healthcare companies', 'animal health medicine', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['communication services', 'television services', 'broadcasting']"
"['healthcare', 'medical equipment', 'healthcare products', 'machinery manufacturing', 'capital goods', 'technology', 'manufacturing', 'health care diagnostics']","['communication services', 'telecom', 'fixed line service']"
"['technology', 'software and it', 'technology hardware and instruments', 'processors / chips', 'computers hardware', 'semiconductors', 'mobiles & accessories', 'memory products', 'artificial intelligence', 'internet of things', 'electronics', 'consumer electronics', 'software products']","['technology', 'cloud services', 'artificial intelligence']"
"['financial services', 'banking services', 'insurance', 'credit cards', 'asset management']","['energy', 'conglomerate', 'oil and gas']"
"['financial services', 'digital payment solution services', 'internet or mobile app based business', 'software products', 'business services', 'software and it']","['financial services', 'digital payment solution services', 'internet or mobile app based business']"
"['energy', 'conglomerate', 'oil and gas', 'chemicals', 'telecom', 'retail', 'petrochemicals', 'textile', 'ecommerce', 'super markets', 'technology']","['financial services', 'banking services', 'insurance']"
"['technology', 'cloud services', 'artificial intelligence', 'software products', 'software and it']","['technology', 'software and it', 'technology hardware and instruments']"
"['communication services', 'telecom', 'fixed line service', 'mobile services', 'internet providers', 'television services', 'media', 'advertising', 'utilities', 'telecom equipment']","['healthcare', 'medical equipment', 'healthcare products']"
"['communication services', 'television services', 'broadcasting', 'telecom', 'internet providers', 'media', 'advertising', 'consumer services', 'entertainment', 'cable operator']","['healthcare', 'pharmaceutical', 'animal healthcare companies']"
"['financial services', 'banking services']","['technology', 'semiconductors', 'electronics']"
"['financial services', 'banking services', 'trading', 'brokerage services', 'wealth management', 'investments', 'asset management', 'stock markets, trading, capital markets']","['healthcare', 'pharmaceutical', 'biotechnology']"
"['telecom', 'communication services', 'internet providers', 'mobile services', 'fixed line service', 'television services', 'media', 'advertising', 'utilities', 'telecom equipment']","['financial services', 'banking services', 'asset management']"
"['industries', 'courier', 'logistics', 'transportation', 'freight transport']","['consumer cyclical', 'restaurants', 'food products']"
"['technology', 'software and it', 'software consulting services', 'software outsourcing services', 'software products', 'consulting services', 'outsourcing and staffing']","['industries', 'batteries', 'automobile parts']"
"['industries', 'batteries', 'automobile parts', 'electronics', 'technology', 'electric vehicles', 'electrical products']","['technology', 'software and it', 'software consulting services']"
"['consumer cyclical', 'restaurants', 'food products', 'non-alcoholic beverages', 'consumer services', 'entertainment', 'beverages']","['industries', 'courier', 'logistics']"
"['financial services', 'banking services', 'asset management', 'credit cards']","['telecom', 'communication services', 'internet providers']"
"['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['financial services', 'banking services', 'trading']"
"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments', 'telecom equipment', 'processors / chips', 'connectivity technology', 'artificial intelligence', 'internet of things', 'software products', 'software and it']","['financial services', 'banking services']"
"['financial services', 'banking services', 'brokerage services', 'asset management', 'investments', 'stock markets, trading, capital markets']","['energy', 'oil and gas', 'chemicals']"
"['healthcare', 'pharmaceutical', 'biopharmaceutical', 'biotechnology', 'healthcare products', 'technology']","['healthcare', 'pharmaceutical', 'biopharmaceutical']"
"['energy', 'oil and gas', 'chemicals', 'natural gas generation', 'electricity generation', 'petrochemicals', 'electric vehicle charging station']","['financial services', 'banking services', 'brokerage services']"
"['basic materials', 'metals', 'mining', 'iron and steel', 'oil and gas', 'coal mining', 'copper mining', 'nickel', 'natural gas generation', 'precious metals']","['consumer cyclical', 'luxury goods', 'retail']"
"['industries', 'freight transport', 'transportation', 'railway', 'railway vehicles and railway components', 'infrastructure']","['basic materials', 'chemicals', 'industrial gases']"
"['technology', 'semiconductors', 'electronics', 'processors / chips', 'sensors']","['utilities', 'electricity generation', 'electric utilities']"
"['consumer cyclical', 'retail', 'home furnishing', 'home & furniture', 'consumer services']","['consumer cyclical', 'retail', 'home furnishing']"
"['utilities', 'electricity generation', 'electric utilities', 'utilities', 'renewable energy', 'solar power', 'wind power', 'power generation', 'energy']","['technology', 'semiconductors', 'electronics']"
"['basic materials', 'chemicals', 'industrial gases']","['industries', 'freight transport', 'transportation']"
"['consumer cyclical', 'luxury goods', 'retail', 'fashion and luxury goods', 'beauty and personal care', 'home & furniture', 'home furnishing', 'shoes', 'jewellery', 'watches', 'leather products', 'fmcg', 'consumer goods']","['basic materials', 'metals', 'mining']"
"['industries', 'software products', 'technology hardware and instruments', 'aerospace products', 'building automation', 'engineering products', 'automobile parts', 'electronics', 'robotics', 'automation', 'automobile', 'software and it', 'aerospace and defense', 'technology', 'space products']","['technology', 'software and it', 'software products']"
"['financial services', 'banking services', 'insurance']","['financial services', 'banking services']"
"['consumer defensive', 'tobacco products', 'cigarettes', 'agriculture products', 'fmcg', 'consumer non durables', 'tobacco and cigarette']","['technology', 'software and it', 'software products']"
"['technology', 'electronics', 'mobiles', 'gaming', 'video games / mobile games / tech games / casino games', 'cameras & accessories', 'technology hardware and instruments', ""tv's"", 'consumer electronics', 'mobiles & accessories']","['consumer cyclical', 'internet or mobile app based business', 'software and it']"
"['technology', 'technology hardware and instruments', 'processors / chips', 'semiconductors', 'electronics']","['financial services', 'banking services', 'wealth management']"
"['financial services', 'banking services', 'wealth management', 'asset management', 'credit cards', 'mortgage', 'insurance']","['technology', 'technology hardware and instruments', 'processors / chips']"
"['consumer cyclical', 'internet or mobile app based business', 'software and it', 'retail', 'ecommerce']","['technology', 'electronics', 'mobiles']"
"['technology', 'software and it', 'software products']","['consumer defensive', 'tobacco products', 'cigarettes']"
"['financial services', 'banking services']","['financial services', 'banking services', 'insurance']"
"['technology', 'software and it', 'software products', 'internet of things', 'cloud services']","['industries', 'software products', 'technology hardware and instruments']"
"['healthcare', 'pharmacy', 'healthcare service', 'retail', 'healthcare products', 'insurance']","['financial services', 'banking services', 'insurance']"
"['energy', 'oil and gas', 'chemicals', 'natural gas generation', 'power generation', 'electricity generation', 'oil refining']","['energy', 'oil and gas', 'petrochemicals']"
"['industries', 'infrastructure', 'technology hardware and instruments', 'software and it', 'railway vehicles and railway components', 'engineering products', 'medical equipment', 'software products', 'security systems and solutions', 'artificial intelligence', 'machinery manufacturing', 'conglomerate', 'railway', 'technology', 'electric vehicle charging station']","['consumer cyclical', 'retail', 'luxury goods']"
"['healthcare', 'pharmaceutical', 'biopharmaceutical', 'biotechnology', 'healthcare products', 'technology']","['technology', 'software and it', 'software products']"
"['healthcare', 'medical equipment', 'biotechnology', 'electronics', 'healthcare products', 'healthcare service', 'technology']","['technology', 'sensors', 'machinery manufacturing']"
"['technology', 'sensors', 'machinery manufacturing', 'technology hardware and instruments', 'electronics', 'manufacturing']","['healthcare', 'medical equipment', 'biotechnology']"
"['technology', 'software and it', 'software products', 'cloud services', 'ecommerce', 'internet or mobile app based business']","['healthcare', 'pharmaceutical', 'biopharmaceutical']"
"['consumer cyclical', 'retail', 'luxury goods', 'fashion and luxury goods', 'watches', 'beauty and personal care', 'leather products', 'jewellery', 'fmcg', 'consumer non durables', 'consumer goods']","['industries', 'infrastructure', 'technology hardware and instruments']"
"['energy', 'oil and gas', 'petrochemicals', 'natural gas generation', 'chemicals']","['energy', 'oil and gas', 'chemicals']"
"['financial services', 'banking services', 'insurance']","['healthcare', 'pharmacy', 'healthcare service']"
"['consumer defensive', 'fmcg', 'beauty and personal care', 'food products', 'home care products', 'consumer non durables']","['consumer defensive', 'fmcg', 'beauty and personal care']"
"['financial services', 'banking services', 'insurance', 'asset management']","['communication services', 'telecom', 'mobile services']"
"['power equipment', 'mobiles & accessories', 'semiconductors']","['financial services', 'banking services', 'insurance']"
"['consumer cyclical', 'automobile', 'cars', 'commercial vehicles', 'sports vehicles', 'passenger vehicles']","['financial services', 'asset management', 'investments']"
"['financial services', 'banking services', 'credit cards', 'technology', 'digital payment solution services']","['retail', 'super markets', 'hypermarkets']"
"['industries', 'aerospace and defense', 'aerospace products', 'aircraft parts', 'defense products', 'elevators', 'escalators', 'building automation', 'security systems and solutions', 'capital goods', 'automation', 'space products']","['industries', 'aerospace and defense', 'aerospace products']"
"['retail', 'super markets', 'hypermarkets']","['financial services', 'banking services', 'credit cards']"
"['financial services', 'asset management', 'investments']","['consumer cyclical', 'automobile', 'cars']"
"['financial services', 'banking services', 'insurance', 'asset management']","['power equipment', 'mobiles & accessories', 'semiconductors']"
"['communication services', 'telecom', 'mobile services', 'internet providers', 'utilities', 'telecom equipment']","['financial services', 'banking services', 'insurance']"
"['consumer cyclical', 'restaurants', 'retail', 'non-alcoholic beverages', 'coffee', 'beverages', 'consumer services']","['financial services', 'banking services', 'asset management']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['consumer defensive', 'alcoholic beverages', 'beverages']"
"['industries', 'aeroplane', 'defense products', 'rockets', 'missiles', 'satellites', 'space products', 'aerospace products', 'aircrafts', 'capital goods', 'aerospace and defense', 'technology']","['financial services', 'banking services', 'asset management']"
"['consumer defensive', 'fmcg', 'personal care products', 'beauty and personal care', 'cosmetics', 'consumer non durables']","['communication services', 'telecom', 'internet providers']"
"['social media', 'internet or mobile app based business', 'technology', 'artificial intelligence']","['healthcare', 'pharmaceutical', 'biopharmaceutical']"
"['healthcare', 'pharmaceutical', 'biopharmaceutical', 'biotechnology', 'healthcare products', 'technology']","['social media', 'internet or mobile app based business', 'technology']"
"['communication services', 'telecom', 'internet providers', 'mobile services', 'fixed line service', 'television services', 'utilities', 'telecom equipment']","['consumer defensive', 'fmcg', 'personal care products']"
"['financial services', 'banking services', 'asset management']","['industries', 'aeroplane', 'defense products']"
"['consumer defensive', 'alcoholic beverages', 'beverages']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['financial services', 'banking services', 'asset management', 'investments', 'brokerage services', 'securities', 'stock markets, trading, capital markets']","['consumer cyclical', 'restaurants', 'retail']"
"['financial services', 'banking services']","['financial services', 'banking services']"
"['healthcare', 'medical equipment', 'healthcare products', 'robotics']","['financial services', 'insurance']"
"['industries', 'agriculture machinery', 'construction equipment', 'commercial vehicles', 'engineering products', 'automobile', 'machinery manufacturing', 'capital goods', 'manufacturing', 'heavy machinery']","['consumer defensive', 'beverages', 'alcoholic beverages']"
"['basic materials', 'metals', 'mining', 'aluminum', 'iron and steel', 'copper mining', 'gold mining', 'diamonds', 'coal mining', 'molybdenum', 'precious metals']","['real estate', 'cell towers infrastructure', 'infrastructure']"
"['technology', 'software and it', 'software products', 'computers hardware', 'laptops', 'cloud services', 'artificial intelligence', 'internet of things', 'electronics', 'consumer electronics']","['industries', 'agriculture machinery', 'machinery manufacturing']"
"['industries', 'agriculture machinery', 'machinery manufacturing', 'construction equipment', 'commercial vehicles', 'heavy vehicles', 'mining equipment', 'engines manufacturing', 'engineering products', 'capital goods', 'construction materials', 'mining', 'manufacturing', 'heavy machinery']","['technology', 'software and it', 'software products']"
"['real estate', 'cell towers infrastructure', 'infrastructure', 'consumer services', 'property investments']","['basic materials', 'metals', 'mining']"
"['consumer defensive', 'beverages', 'alcoholic beverages', 'fmcg', 'consumer non durables']","['industries', 'agriculture machinery', 'construction equipment']"
"['financial services', 'insurance']","['healthcare', 'medical equipment', 'healthcare products']"
"['financial services', 'banking services']","['financial services', 'banking services']"
"['financial services', 'investments', 'trading', 'stock markets, trading, capital markets']","['real estate', 'property investments', 'investments']"
"['energy', 'oil and gas', 'natural gas generation', 'petrochemicals', 'oil and gas pipeline transport', 'chemicals']","['technology', 'cloud services', 'software and it']"
"['communication services', 'telecom', 'internet providers', 'fixed line service', 'television services', 'consumer services', 'media', 'advertising', 'entertainment']","['industries', 'aircraft parts', 'aerospace products']"
"['consumer defensive', 'beverages', 'non-alcoholic beverages', 'fmcg', 'consumer non durables', 'alcoholic beverages']","['consumer defensive', 'retail', 'ecommerce']"
"['financial services', 'banking services', 'insurance']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology', 'technology']","['financial services', 'banking services', 'insurance']"
"['consumer defensive', 'retail', 'ecommerce', 'consumer services']","['consumer defensive', 'beverages', 'non-alcoholic beverages']"
"['industries', 'aircraft parts', 'aerospace products', 'healthcare products', 'aerospace and defense', 'electrical products', 'software and it', 'software products', 'technology hardware and instruments', 'energy', 'electronics', 'engineering products', 'lighting products', 'technology', 'space products']","['communication services', 'telecom', 'internet providers']"
"['technology', 'cloud services', 'software and it', 'software products', 'artificial intelligence']","['energy', 'oil and gas', 'natural gas generation']"
"['real estate', 'property investments', 'investments', 'consumer services']","['financial services', 'investments', 'trading']"
"['energy', 'oil and gas', 'metals', 'mining', 'chemicals', 'fertilizers', 'paper and pulp', 'plastics / plastic products', 'commodities trading']","['power equipment', 'automation', 'building automation']"
"['industries', 'aerospace and defense', 'aeroplane', 'defense products', 'helicoptors', 'space products', 'aircrafts', 'machinery manufacturing', 'manufacturing']","['logistics', 'technology']"
"['internet or mobile app based business', 'rent / lease services', 'consumer services']","['asset management', 'investments', 'financial services']"
"['healthcare', 'insurance', 'financial services', 'healthcare products']","['energy', 'oil and gas', 'natural gas generation']"
"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments', 'memory products']","['consumer cyclical', 'ecommerce', 'internet or mobile app based business']"
"['consumer cyclical', 'ecommerce', 'internet or mobile app based business', 'retail', 'consumer services']","['technology', 'semiconductors', 'electronics']"
"['energy', 'oil and gas', 'natural gas generation', 'petroleum', 'coal mining', 'mining']","['healthcare', 'insurance', 'financial services']"
"['asset management', 'investments', 'financial services', 'mutual funds', 'brokerage services']","['internet or mobile app based business', 'rent / lease services', 'consumer services']"
"['logistics', 'technology']","['industries', 'aerospace and defense', 'aeroplane']"
"['power equipment', 'automation', 'building automation', 'industrial automation', 'industrial electrical electronics', 'power management tools', 'tools and equipment', 'industry machinery', 'lighting products', 'electric vehicle charging station']","['energy', 'oil and gas', 'metals']"
"['industries', 'software products', 'software and it', 'technology', 'outsourcing and staffing']","['technology', 'social media', 'internet or mobile app based business']"
"['consumer cyclical', 'luxury goods', 'leather products', 'clothing', 'eyewear', 'watches', 'shoes', 'footwear', 'ecommerce', 'retail', 'convenience stores', 'fmcg', 'consumer goods', 'fashion and luxury goods']","['communication services', 'gaming', 'software products']"
"['communication services', 'telecom', 'mobile services']","['industries', 'medical equipment', 'electronics']"
"['communication services', 'telecom', 'mobile services', 'fixed line service', 'internet providers', 'television services']","['financial services', 'insurance', 'asset management']"
"['healthcare', 'pharmaceutical', 'chemicals', 'healthcare products']","['technology', 'software and it', 'software products']"
"['technology', 'software and it', 'software products', 'software consulting services', 'software outsourcing services', 'artificial intelligence', 'cloud services', 'internet of things', 'automation', 'robotics', 'consulting services', 'outsourcing and staffing']","['healthcare', 'pharmaceutical', 'chemicals']"
"['financial services', 'insurance', 'asset management']","['communication services', 'telecom', 'mobile services']"
"['industries', 'medical equipment', 'electronics', 'healthcare products', 'chemicals', 'engineering products', 'adhesives', 'consumer goods', 'conglomerate', 'industry machinery']","['communication services', 'telecom', 'mobile services']"
"['communication services', 'gaming', 'software products', 'technology', 'consumer services', 'entertainment', 'software and it', 'retail', 'ecommerce']","['consumer cyclical', 'luxury goods', 'leather products']"
"['technology', 'social media', 'internet or mobile app based business']","['industries', 'software products', 'software and it']"
"['consumer cyclical', 'internet or mobile app based business', 'travel and transport', 'ecommerce', 'business services']","['consumer cyclical', 'internet or mobile app based business', 'travel and transport']"
"['technology', 'engineering products', 'technology hardware and instruments', 'electronics', 'automobile parts', 'home appliances', 'security systems and solutions', 'internet of things', 'cloud services']","['healthcare', 'pharmaceutical', 'healthcare service']"
"['financial services', 'banking services']","['healthcare', 'medical equipment', 'healthcare products']"
"['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'technology']","['industries', 'aerospace products', 'defense products']"
"['energy', 'oil and gas', 'petrochemicals', 'chemicals', 'electric vehicle charging station']","['consumer cyclical', 'retail', 'readymade clothing']"
"['consumer cyclical', 'automobile', 'cars', 'commercial vehicles', 'trucks', 'vans', 'capital goods', 'passenger vehicles']","['consumer cyclical', 'automobile', 'cars']"
"['consumer cyclical', 'retail', 'readymade clothing']","['energy', 'oil and gas', 'petrochemicals']"
"['industries', 'aerospace products', 'defense products', 'aerospace and defense', 'missiles', 'weapons', 'marine systems', 'security systems and solutions', 'capital goods', 'space products', 'artificial intelligence']","['healthcare', 'pharmaceutical', 'biotechnology']"
"['healthcare', 'medical equipment', 'healthcare products']","['financial services', 'banking services']"
"['healthcare', 'pharmaceutical', 'healthcare service', 'animal health medicine', 'animal healthcare companies', 'healthcare products']","['technology', 'engineering products', 'technology hardware and instruments']"
"['business services', 'professional services', 'consulting services', 'accounting and auditing']","['financial services', 'banking services']"
"['consumer cyclical', 'automobile', 'cars', 'passenger vehicles']","['basic materials', 'chemicals', 'petrochemicals']"
"['consumer defensive', 'tobacco products', 'cigarettes', 'beverages', 'alcoholic beverages', 'fmcg', 'agriculture products', 'consumer non durables', 'tobacco and cigarette']","['technology', 'semiconductors', 'electronics']"
"['technology', 'cloud services', 'software and it']","['consumer defensive', 'food products', 'beverages']"
"['communication services', 'telecom', 'mobile services', 'fixed line service', 'internet providers', 'television services']","['consumer cyclical', 'automobile', 'bus manufacturing']"
"['consumer cyclical', 'automobile', 'bus manufacturing', 'trucks', 'manufacturing', 'electric vehicles', 'batteries']","['communication services', 'telecom', 'mobile services']"
"['consumer defensive', 'food products', 'beverages', 'non-alcoholic beverages', 'dairy products', 'chocolate & confectionery', 'fmcg', 'consumer non durables', 'food and beverage']","['technology', 'cloud services', 'software and it']"
"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments', 'processors / chips']","['consumer defensive', 'tobacco products', 'cigarettes']"
"['basic materials', 'chemicals', 'petrochemicals', 'fertilizers']","['consumer cyclical', 'automobile', 'cars']"
"['financial services', 'banking services']","['business services', 'professional services', 'consulting services']"
"['healthcare', 'biotechnology', 'biopharmaceutical', 'pharmaceutical', 'healthcare products', 'technology']","['financial services', 'banking services', 'asset management']"
"['consumer cyclical', 'automobile', 'cars', 'trucks', 'commercial vehicles', 'passenger vehicles', 'electric vehicle charging station']","['financial services', 'banking services']"
"['consumer defensive', 'tobacco products', 'cigarettes', 'fmcg', 'agriculture products', 'consumer non durables', 'tobacco and cigarette']","['consumer cyclical', 'automobile', 'cars']"
"['energy', 'oil and gas', 'petrochemicals', 'petroleum', 'natural gas generation', 'electricity generation', 'chemicals']","['agriculture products', 'agriculture related', 'food products']"
"['financial services', 'investments', 'property investments', 'asset management', 'consumer services']","['industries', 'internet or mobile app based business', 'consulting services']"
"['industries', 'internet or mobile app based business', 'consulting services', 'technology', 'software and it', 'software products', 'outsourcing and staffing']","['financial services', 'investments', 'property investments']"
"['agriculture products', 'agriculture related', 'food products', 'meat / poultry / fish / chicken', 'trading']","['energy', 'oil and gas', 'petrochemicals']"
"['consumer cyclical', 'automobile', 'cars', 'automobile parts', 'capital goods', 'passenger vehicles']","['consumer defensive', 'tobacco products', 'cigarettes']"
"['financial services', 'banking services']","['consumer cyclical', 'automobile', 'cars']"
"['financial services', 'banking services', 'asset management', 'wealth management', 'mortgage']","['healthcare', 'biotechnology', 'biopharmaceutical']"
"['healthcare', 'biotechnology', 'biopharmaceutical']","['healthcare', 'eyewear', 'retail']"
"['financial services', 'banking services', 'insurance', 'mortgage']","['consumer cyclical', 'retail', 'clothing']"
"['industries', 'transportation', 'freight transport', 'rail transport', 'railway']","['technology', 'electronics', 'semiconductors']"
"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments']","['financial services', 'banking services']"
"['financial services', 'banking services']","['technology', 'semiconductors', 'electronics']"
"['technology', 'electronics', 'semiconductors', 'power systems', 'power generation']","['industries', 'transportation', 'freight transport']"
"['consumer cyclical', 'retail', 'clothing', 'readymade clothing', 'footwear', 'beauty and personal care', 'home & furniture', 'jewellery', 'consumer services', 'apparels and accessories', 'textile', 'fmcg']","['financial services', 'banking services', 'insurance']"
"['healthcare', 'eyewear', 'retail', 'consumer goods', 'medical equipment']","['healthcare', 'biotechnology', 'biopharmaceutical']"
