02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry,02-GioPonSpiz-sector,03-gren-sector,04-iGMM-sector,05-MalPatSaj-sector,06-MarScoToc-sector,07-silvestri-sector,10-DeBiGa-sector
diagnostics & research,diagnostics & research,aerospace & defense,diagnostics & research,steel,banks,healthcare,healthcare,industrials,healthcare,basic materials,healthcare,financials
electronic gaming & multimedia,oil & gas integrated,oil & gas integrated,oil & gas integrated,specialty industrial machinery,utilities—regulated electric,communication services,energy,energy,energy,industrials,energy,utilities
software—application,drug manufacturers—general,insurance—diversified,drug manufacturers—general,publishing,specialty industrial machinery,technology,healthcare,financials,healthcare,communication services,healthcare,industrials
financial data & stock exchanges,drug manufacturers—general,insurance—property & casualty,drug manufacturers—general,grocery stores,biotechnology,financials,healthcare,financials,healthcare,consumer staples,healthcare,healthcare
electronic gaming & multimedia,semiconductors,auto manufacturers,semiconductors,consulting services,drug manufacturers—specialty & generic,communication services,technology,consumer discretionary,technology,industrials,technology,healthcare
oil & gas e&p,banks,specialty industrial machinery,banks,aerospace & defense,chemicals,energy,financials,industrials,financials,industrials,financials,basic materials
specialty industrial machinery,software—infrastructure,household & personal products,software—infrastructure,asset management,internet retail,industrials,technology,consumer staples,technology,financials,technology,consumer discretionary
semiconductors,software—application,financial data & stock exchanges,software—application,apparel retail,confectioners,technology,technology,financials,technology,consumer discretionary,technology,consumer staples
information technology services,integrated freight & logistics,medical devices,integrated freight & logistics,utilitiesregulated water,drug manufacturers—specialty & generic,technology,industrials,healthcare,industrials,utilities,industrials,healthcare
banks,banks,tobacco,banks,financial conglomerates,telecom services,financials,financials,consumer staples,financials,financials,financials,communication services
marine shipping,restaurants,tobacco,restaurants,utilitiesregulated water,specialty industrial machinery,industrials,consumer discretionary,consumer staples,consumer discretionary,utilities,consumer discretionary,industrials
software—infrastructure,banks,telecom services,banks,specialty retail,oil & gas midstream,technology,financials,communication services,financials,consumer discretionary,financials,energy
specialty industrial machinery,electrical equipment & parts,chemicals,electrical equipment & parts,insuranceproperty & casualty,railroads,industrials,industrials,basic materials,industrials,financials,industrials,industrials
oil & gas e&p,railroads,auto manufacturers,railroads,softwareapplication,travel services,energy,industrials,consumer discretionary,industrials,technology,industrials,consumer discretionary
agricultural inputs,telecom services,entertainment,telecom services,grocery stores,thermal coal,basic materials,communication services,communication services,communication services,consumer staples,communication services,energy
software—infrastructure,semiconductors,medical devices,semiconductors,softwareapplication,oil & gas integrated,technology,technology,healthcare,technology,technology,technology,energy
integrated freight & logistics,semiconductors,insurance—diversified,semiconductors,paper & paper products,staffing & employment services,industrials,technology,financials,technology,basic materials,technology,industrials
internet content & information,drug manufacturers—general,software—application,drug manufacturers—general,asset management,insurance—life,communication services,healthcare,technology,healthcare,financials,healthcare,financials
financial data & stock exchanges,internet content & information,apparel retail,internet content & information,specialty industrial machinery,software—application,financials,communication services,consumer discretionary,communication services,industrials,communication services,technology
credit services,specialty chemicals,financial data & stock exchanges,specialty chemicals,residential construction,utilities—diversified,financials,basic materials,financials,basic materials,consumer discretionary,basic materials,utilities
specialty industrial machinery,utilities—regulated electric,oil & gas e&p,utilities—regulated electric,luxury goods,medical devices,industrials,utilities,energy,utilities,consumer discretionary,utilities,healthcare
software—infrastructure,banks,banks,banks,medical instruments & supplies,integrated freight & logistics,technology,financials,financials,financials,healthcare,financials,industrials
banks,telecom services,biotechnology,telecom services,softwareinfrastructure,chemicals,financials,communication services,healthcare,communication services,technology,communication services,basic materials
household & personal products,capital markets,drug manufacturers—general,capital markets,insurancelife,marine shipping,consumer staples,financials,healthcare,financials,financials,financials,industrials
beverages—non-alcoholic,entertainment,medical instruments & supplies,entertainment,internet content & information,semiconductors,consumer staples,communication services,healthcare,communication services,communication services,communication services,technology
telecom services,banks,banks,banks,real estatediversified,leisure,communication services,financials,financials,financials,real estate,financials,consumer discretionary
copper,capital markets,semiconductor equipment & materials,capital markets,specialty industrial machinery,software—application,basic materials,financials,technology,financials,industrials,financials,technology
medical devices,tobacco,utilities—regulated electric,tobacco,asset management,utilities—diversified,healthcare,consumer staples,utilities,consumer staples,financials,consumer staples,utilities
engineering & construction,medical devices,oil & gas integrated,medical devices,apparel manufacturing,household & personal products,industrials,healthcare,energy,healthcare,consumer discretionary,healthcare,consumer staples
software—application,aerospace & defense,utilities—independent power producers,aerospace & defense,aerospace & defense,auto manufacturers,technology,industrials,utilities,industrials,industrials,industrials,consumer discretionary
publishing,credit services,luxury goods,credit services,reitdiversified,gold,communication services,financials,consumer discretionary,financials,real estate,financials,basic materials
,luxury goods,auto manufacturers,luxury goods,asset management,reit—specialty,,consumer discretionary,consumer discretionary,consumer discretionary,financials,consumer discretionary,real estate
chemicals,banks,insurance—life,banks,specialty industrial machinery,banks,basic materials,financials,financials,financials,industrials,financials,financials
beverages—wineries & distilleries,oil & gas integrated,software—application,oil & gas integrated,restaurants,banks,consumer staples,energy,technology,energy,consumer discretionary,energy,financials
oil & gas equipment & services,banks,utilities—diversified,banks,publishing,banks,energy,financials,utilities,financials,communication services,financials,financials
semiconductors,home improvement retail,medical devices,home improvement retail,grocery stores,waste management,technology,consumer discretionary,healthcare,consumer discretionary,consumer staples,consumer discretionary,industrials
banks,drug manufacturers—general,integrated freight & logistics,drug manufacturers—general,asset management,electrical equipment & parts,financials,healthcare,industrials,healthcare,financials,healthcare,industrials
oil & gas midstream,banks,chemicals,banks,home improvement retail,banks,energy,financials,basic materials,financials,consumer discretionary,financials,financials
packaged foods,banks,marine shipping,banks,internet content & information,insurance—property & casualty,consumer staples,financials,industrials,financials,communication services,financials,financials
conglomerates,telecom services,semiconductors,telecom services,telecom services,specialty industrial machinery,industrials,communication services,technology,communication services,communication services,communication services,industrials
banks,oil & gas integrated,leisure,oil & gas integrated,residential construction,biotechnology,financials,energy,consumer discretionary,energy,consumer discretionary,energy,healthcare
lodging,specialty industrial machinery,software—application,specialty industrial machinery,asset management,specialty chemicals,consumer discretionary,industrials,technology,industrials,financials,industrials,basic materials
internet retail,oil & gas e&p,utilities—diversified,oil & gas e&p,industrial distribution,drug manufacturers—general,consumer discretionary,energy,utilities,energy,industrials,energy,healthcare
consulting services,healthcare plans,household & personal products,healthcare plans,reitdiversified,staffing & employment services,industrials,healthcare,consumer staples,healthcare,real estate,healthcare,industrials
banks,insurance—life,auto manufacturers,insurance—life,gold,utilities—diversified,financials,financials,consumer discretionary,financials,basic materials,financials,utilities
oil & gas midstream,software—application,gold,software—application,residential construction,information technology services,energy,technology,basic materials,technology,consumer discretionary,technology,technology
healthcare plans,credit services,reit—specialty,credit services,asset management,banks,healthcare,financials,real estate,financials,financials,financials,financials
semiconductor equipment & materials,drug manufacturers—general,capital markets,drug manufacturers—general,reitdiversified,banks,technology,healthcare,financials,healthcare,real estate,healthcare,financials
banks,farm & heavy construction machinery,auto manufacturers,farm & heavy construction machinery,asset management,reit—industrial,financials,industrials,consumer discretionary,industrials,financials,industrials,real estate
auto manufacturers,semiconductors,banks,semiconductors,residential construction,telecom services,consumer discretionary,technology,financials,technology,consumer discretionary,technology,communication services
capital markets,software—application,semiconductor equipment & materials,software—application,asset management,banks,financials,technology,technology,technology,financials,technology,financials
consumer electronics,consumer electronics,healthcare plans,consumer electronics,discount stores,utilities—diversified,technology,technology,healthcare,technology,consumer staples,technology,utilities
other industrial metals & mining,other industrial metals & mining,oil & gas midstream,other industrial metals & mining,"furnishings, fixtures & appliances",utilities—diversified,basic materials,basic materials,energy,basic materials,consumer discretionary,basic materials,utilities
insurance—life,insurance—life,banks,insurance—life,electrical equipment & parts,insurance—diversified,financials,financials,financials,financials,industrials,financials,financials
aerospace & defense,aerospace & defense,consulting services,aerospace & defense,capital markets,aerospace & defense,industrials,industrials,industrials,industrials,financials,industrials,industrials
farm & heavy construction machinery,farm & heavy construction machinery,internet retail,farm & heavy construction machinery,utilitiesregulated water,biotechnology,industrials,industrials,consumer discretionary,industrials,utilities,industrials,healthcare
beverages—brewers,beverages—brewers,lodging,beverages—brewers,packaging & containers,other industrial metals & mining,consumer staples,consumer staples,consumer discretionary,consumer staples,consumer discretionary,consumer staples,basic materials
,oil & gas integrated,banks,oil & gas integrated,specialty industrial machinery,diagnostics & research,,energy,financials,energy,industrials,,healthcare
luxury goods,luxury goods,conglomerates,luxury goods,drug manufacturersgeneral,oil & gas e&p,consumer discretionary,consumer discretionary,industrials,consumer discretionary,healthcare,consumer discretionary,energy
reit—industrial,reit—industrial,packaged foods,reit—industrial,biotechnology,banks,real estate,real estate,consumer staples,real estate,healthcare,real estate,financials
semiconductor equipment & materials,semiconductor equipment & materials,oil & gas midstream,semiconductor equipment & materials,medical instruments & supplies,discount stores,technology,technology,energy,technology,healthcare,technology,consumer staples
healthcare plans,healthcare plans,banks,healthcare plans,reitretail,copper,healthcare,healthcare,financials,healthcare,real estate,healthcare,basic materials
information technology services,information technology services,semiconductors,information technology services,internet retail,railroads,technology,technology,technology,technology,consumer discretionary,technology,industrials
household & personal products,household & personal products,auto manufacturers,household & personal products,asset management,telecom services,consumer staples,consumer staples,consumer discretionary,consumer staples,financials,consumer staples,communication services
asset management,asset management,staffing & employment services,asset management,softwareinfrastructure,aerospace & defense,financials,financials,industrials,financials,technology,financials,industrials
banks,banks,healthcare plans,banks,gambling,insurance brokers,financials,financials,healthcare,financials,consumer discretionary,financials,financials
beverages—wineries & distilleries,beverages—wineries & distilleries,packaged foods,beverages—wineries & distilleries,insurancediversified,auto manufacturers,consumer staples,consumer staples,consumer staples,consumer staples,financials,consumer staples,consumer discretionary
reit—specialty,reit—specialty,specialty industrial machinery,reit—specialty,reitoffice,banks,real estate,real estate,industrials,real estate,real estate,real estate,financials
specialty industrial machinery,specialty industrial machinery,internet retail,specialty industrial machinery,specialty industrial machinery,semiconductor equipment & materials,industrials,industrials,consumer discretionary,industrials,industrials,industrials,technology
internet retail,internet retail,diagnostics & research,internet retail,specialty chemicals,healthcare plans,consumer discretionary,consumer discretionary,healthcare,consumer discretionary,basic materials,consumer discretionary,healthcare
scientific & technical instruments,scientific & technical instruments,aerospace & defense,scientific & technical instruments,asset management,oil & gas midstream,technology,technology,industrials,technology,financials,technology,energy
capital markets,capital markets,software—infrastructure,capital markets,airlines,banks,financials,financials,technology,financials,industrials,financials,financials
infrastructure operations,infrastructure operations,oil & gas e&p,infrastructure operations,electronic components,consulting services,industrials,industrials,energy,industrials,technology,industrials,industrials
apparel retail,apparel retail,specialty chemicals,apparel retail,information technology services,internet retail,consumer discretionary,consumer discretionary,basic materials,consumer discretionary,technology,consumer discretionary,consumer discretionary
aerospace & defense,aerospace & defense,travel services,aerospace & defense,specialty retail,lodging,industrials,industrials,consumer discretionary,industrials,consumer discretionary,industrials,consumer discretionary
drug manufacturers—general,drug manufacturers—general,electronic components,drug manufacturers—general,asset management,banks,healthcare,healthcare,technology,healthcare,financials,healthcare,financials
banks,banks,other industrial metals & mining,banks,integrated freight & logistics,conglomerates,financials,financials,basic materials,financials,industrials,financials,industrials
auto manufacturers,auto manufacturers,utilities—regulated electric,auto manufacturers,information technology services,packaged foods,consumer discretionary,consumer discretionary,utilities,consumer discretionary,technology,consumer discretionary,consumer staples
restaurants,restaurants,farm products,restaurants,broadcasting,oil & gas midstream,consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,communication services,consumer discretionary,energy
other industrial metals & mining,other industrial metals & mining,computer hardware,other industrial metals & mining,industrial distribution,banks,basic materials,basic materials,technology,basic materials,industrials,basic materials,financials
software—application,software—application,gold,software—application,specialty industrial machinery,semiconductors,technology,technology,basic materials,technology,industrials,technology,technology
discount stores,discount stores,information technology services,discount stores,biotechnology,oil & gas equipment & services,consumer staples,consumer staples,technology,consumer staples,healthcare,consumer staples,energy
information technology services,information technology services,biotechnology,information technology services,publishing,beverages—wineries & distilleries,technology,technology,healthcare,technology,communication services,technology,consumer staples
banks,banks,banks,banks,softwareinfrastructure,chemicals,financials,financials,financials,financials,technology,financials,basic materials
internet content & information,internet content & information,restaurants,internet content & information,asset management,                                        semiconductors                                    ,communication services,communication services,consumer discretionary,communication services,financials,communication services,                                        technology                                    
entertainment,entertainment,software—application,entertainment,utilitiesrenewable,publishing,communication services,communication services,technology,communication services,utilities,communication services,communication services
auto manufacturers,auto manufacturers,specialty business services,auto manufacturers,capital markets,software—application,consumer discretionary,consumer discretionary,industrials,consumer discretionary,financials,consumer discretionary,technology
chemicals,chemicals,diagnostics & research,chemicals,asset management,engineering & construction,basic materials,basic materials,healthcare,basic materials,financials,basic materials,industrials
telecom services,telecom services,specialty retail,telecom services,packaged foods,medical devices,communication services,communication services,consumer discretionary,communication services,consumer staples,communication services,healthcare
tobacco,tobacco,electronic components,tobacco,packaged foods,copper,consumer staples,consumer staples,technology,consumer staples,consumer staples,consumer staples,basic materials
tobacco,tobacco,banks,tobacco,medical devices,telecom services,consumer staples,consumer staples,financials,consumer staples,healthcare,consumer staples,communication services
medical devices,medical devices,oil & gas integrated,medical devices,gambling,beverages—non-alcoholic,healthcare,healthcare,energy,healthcare,consumer discretionary,healthcare,consumer staples
financial data & stock exchanges,financial data & stock exchanges,other industrial metals & mining,financial data & stock exchanges,residential construction,household & personal products,financials,financials,basic materials,financials,consumer discretionary,financials,consumer staples
household & personal products,household & personal products,oil & gas e&p,household & personal products,asset management,banks,consumer staples,consumer staples,energy,consumer staples,financials,consumer staples,financials
specialty industrial machinery,specialty industrial machinery,software—application,specialty industrial machinery,asset management,software—infrastructure,industrials,industrials,technology,industrials,financials,industrials,technology
auto manufacturers,auto manufacturers,chemicals,auto manufacturers,utilitiesrenewable,specialty industrial machinery,consumer discretionary,consumer discretionary,basic materials,consumer discretionary,utilities,consumer discretionary,industrials
insurance—property & casualty,insurance—property & casualty,chemicals,insurance—property & casualty,reitindustrial,credit services,financials,financials,basic materials,financials,real estate,financials,financials
insurance—diversified,insurance—diversified,banks,insurance—diversified,specialty business services,financial data & stock exchanges,financials,financials,financials,financials,industrials,financials,financials
oil & gas integrated,oil & gas integrated,utilities—regulated electric,oil & gas integrated,asset management,internet content & information,energy,energy,utilities,energy,financials,energy,communication services
aerospace & defense,aerospace & defense,reit—healthcare facilities,aerospace & defense,asset management,integrated freight & logistics,industrials,industrials,real estate,industrials,financials,industrials,industrials
insurance—life,insurance—life,financial data & stock exchanges,insurance—life,scientific & technical instruments,software—infrastructure,financials,financials,financials,financials,technology,financials,technology
staffing & employment services,staffing & employment services,banks,staffing & employment services,building products & equipment,agricultural inputs,industrials,industrials,financials,industrials,industrials,industrials,basic materials
oil & gas integrated,oil & gas integrated,medical instruments & supplies,oil & gas integrated,oil & gas equipment & services,oil & gas e&p,energy,energy,healthcare,energy,energy,energy,energy
thermal coal,thermal coal,capital markets,thermal coal,luxury goods,specialty industrial machinery,energy,energy,financials,energy,consumer discretionary,energy,industrials
travel services,travel services,specialty business services,travel services,reitindustrial,software—infrastructure,consumer discretionary,consumer discretionary,industrials,consumer discretionary,real estate,consumer discretionary,technology
railroads,railroads,diagnostics & research,railroads,insuranceproperty & casualty,marine shipping,industrials,industrials,healthcare,industrials,financials,industrials,industrials
oil & gas midstream,oil & gas midstream,pharmaceutical retailers,oil & gas midstream,asset management,banks,energy,energy,healthcare,energy,financials,energy,financials
specialty industrial machinery,specialty industrial machinery,reit—office,specialty industrial machinery,asset management,information technology services,industrials,industrials,real estate,industrials,financials,industrials,technology
telecom services,telecom services,banks,telecom services,auto & truck dealerships,semiconductors,communication services,communication services,financials,communication services,consumer discretionary,communication services,technology
drug manufacturers—specialty & generic,drug manufacturers—specialty & generic,building products & equipment,drug manufacturers—specialty & generic,travel services,specialty industrial machinery,healthcare,healthcare,industrials,healthcare,consumer discretionary,healthcare,industrials
confectioners,confectioners,asset management,confectioners,mortgage finance,oil & gas e&p,consumer staples,consumer staples,financials,consumer staples,financials,consumer staples,energy
internet retail,internet retail,oil & gas midstream,internet retail,grocery stores,electronic gaming & multimedia,consumer discretionary,consumer discretionary,energy,consumer discretionary,consumer staples,consumer discretionary,communication services
chemicals,chemicals,grocery stores,chemicals,airlines,financial data & stock exchanges,basic materials,basic materials,consumer staples,basic materials,industrials,basic materials,financials
drug manufacturers—specialty & generic,drug manufacturers—specialty & generic,medical instruments & supplies,drug manufacturers—specialty & generic,banks,software—application,healthcare,healthcare,healthcare,healthcare,financials,healthcare,technology
biotechnology,biotechnology,consulting services,biotechnology,reitdiversified,electronic gaming & multimedia,healthcare,healthcare,industrials,healthcare,real estate,healthcare,communication services
specialty industrial machinery,specialty industrial machinery,medical instruments & supplies,specialty industrial machinery,footwear & accessories,staffing & employment services,industrials,industrials,healthcare,industrials,consumer discretionary,industrials,industrials
utilities—regulated electric,utilities—regulated electric,oil & gas refining & marketing,utilities—regulated electric,asset management,healthcare plans,utilities,utilities,energy,utilities,financials,utilities,healthcare
banks,banks,beverages—wineries & distilleries,banks,leisure,packaged foods,financials,financials,consumer staples,financials,consumer discretionary,financials,consumer staples
asset management,asset management,software—application,asset management,reitretail,specialty industrial machinery,financials,financials,technology,financials,real estate,financials,industrials
asset management,asset management,auto manufacturers,asset management,aerospace & defense,internet retail,financials,financials,consumer discretionary,financials,industrials,financials,consumer discretionary
other industrial metals & mining,other industrial metals & mining,software—infrastructure,other industrial metals & mining,beveragesnon-alcoholic,diagnostics & research,basic materials,basic materials,technology,basic materials,consumer staples,basic materials,healthcare
financial data & stock exchanges,financial data & stock exchanges,packaged foods,financial data & stock exchanges,specialty retail,aerospace & defense,financials,financials,consumer staples,financials,consumer discretionary,financials,industrials
insurance brokers,insurance brokers,specialty chemicals,insurance brokers,oil & gas e&p,software—infrastructure,financials,financials,basic materials,financials,energy,financials,technology
semiconductors,semiconductors,waste management,semiconductors,asset management,oil & gas e&p,technology,technology,industrials,technology,financials,technology,energy
banks,banks,aerospace & defense,banks,beveragesnon-alcoholic,specialty chemicals,financials,financials,industrials,financials,consumer staples,financials,basic materials
healthcare plans,healthcare plans,utilities—diversified,healthcare plans,residential construction,travel services,healthcare,healthcare,utilities,healthcare,consumer discretionary,healthcare,consumer discretionary
software—application,software—application,telecom services,software—application,staffing & employment services,electronic components,technology,technology,communication services,technology,industrials,technology,technology
chemicals,chemicals,banks,chemicals,real estate services,other industrial metals & mining,basic materials,basic materials,financials,basic materials,real estate,basic materials,basic materials
medical care facilities,medical care facilities,oil & gas e&p,medical care facilities,electronic components,utilities—regulated electric,healthcare,healthcare,energy,healthcare,technology,healthcare,utilities
banks,banks,telecom services,banks,reithealthcare facilities,farm products,financials,financials,communication services,financials,real estate,financials,consumer staples
reit—specialty,reit—specialty,financial data & stock exchanges,reit—specialty,asset management,insurance—property & casualty,real estate,real estate,financials,real estate,financials,real estate,financials
medical instruments & supplies,medical instruments & supplies,oil & gas integrated,medical instruments & supplies,asset management,credit services,healthcare,healthcare,energy,healthcare,financials,healthcare,financials
banks,banks,auto parts,banks,asset management,aerospace & defense,financials,financials,consumer discretionary,financials,financials,financials,industrials
semiconductor equipment & materials,semiconductor equipment & materials,specialty industrial machinery,semiconductor equipment & materials,internet retail,auto manufacturers,technology,technology,industrials,technology,consumer discretionary,technology,consumer discretionary
banks,banks,insurance—diversified,banks,packaged foods,auto parts,financials,financials,financials,financials,consumer staples,financials,consumer discretionary
luxury goods,luxury goods,specialty industrial machinery,luxury goods,reitoffice,telecom services,consumer discretionary,consumer discretionary,industrials,consumer discretionary,real estate,consumer discretionary,communication services
utilities—independent power producers,utilities—independent power producers,telecom services,utilities—independent power producers,asset management,auto manufacturers,utilities,utilities,communication services,utilities,financials,utilities,consumer discretionary
oil & gas integrated,oil & gas integrated,real estate—development,oil & gas integrated,other precious metals & mining,oil & gas integrated,energy,energy,real estate,energy,basic materials,energy,energy
utilities—regulated electric,utilities—regulated electric,communication equipment,utilities—regulated electric,specialty retail,conglomerates,utilities,utilities,technology,utilities,consumer discretionary,utilities,industrials
semiconductor equipment & materials,semiconductor equipment & materials,specialty chemicals,semiconductor equipment & materials,asset management,semiconductors,technology,technology,basic materials,technology,financials,technology,technology
banks,banks,real estate—development,banks,residential construction,semiconductors,financials,financials,real estate,financials,consumer discretionary,financials,technology
medical instruments & supplies,medical instruments & supplies,grocery stores,medical instruments & supplies,gambling,apparel retail,healthcare,healthcare,consumer staples,healthcare,consumer discretionary,healthcare,consumer discretionary
