08-slytherin-industry,00-avengers-company_business,04-iGMM-company_business
"['healthcare', 'healthcare service', 'insurance', 'healthcare products']","['healthcare', 'healthcare service', 'insurance', 'healthcare products']","['technology', 'electronics', 'semiconductors']"
"['healthcare', 'medical equipment', 'pharmaceutical', 'fmcg', 'biotechnology', 'technology', 'healthcare products']","['technology', 'electronics', 'semiconductors', 'mobiles & accessories', 'cameras & accessories', 'tablets', 'home appliances', 'refrigerators', 'air conditioners', 'washing machines', ""tv's"", 'consumer electronics']","['healthcare', 'healthcare service', 'insurance']"
"['financial services', 'banking services', 'credit cards', 'asset management']","['healthcare', 'medical equipment', 'pharmaceutical', 'fmcg', 'biotechnology', 'technology', 'healthcare products']","['retail', 'ecommerce', 'construction materials']"
"['financial services', 'banking services', 'investment banking', 'insurance', 'credit cards', 'wealth management', 'asset management', 'mortgage']","['financial services', 'technology', 'software and it', 'credit cards', 'digital payment solution services', 'business services', 'software products', 'artificial intelligence']","['fashion and luxury goods', 'non-alcoholic beverages', 'clothing']"
"['financial services', 'technology', 'software and it', 'credit cards', 'digital payment solution services', 'business services', 'software products', 'artificial intelligence']","['financial services', 'banking services', 'credit cards', 'asset management']","['financial services', 'banking services', 'investment banking']"
"['communication services', 'investments', 'internet or mobile app based business', 'advertising', 'media', 'gaming', 'video games / mobile games / tech games / casino games', 'artificial intelligence', 'software and it', 'software products', 'technology']","['communication services', 'investments', 'internet or mobile app based business', 'advertising', 'media', 'gaming', 'video games / mobile games / tech games / casino games', 'artificial intelligence', 'software and it', 'software products', 'technology']","['retail', 'super markets', 'ecommerce']"
"['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology', 'technology']","['consumer defensive', 'fmcg', 'consumer non durables', 'beauty and personal care', 'personal care products', 'healthcare products']","['consumer defensive', 'fmcg', 'consumer non durables']"
"['digital payment solution services', 'financial services', 'credit cards', 'technology', 'business services', 'artificial intelligence']","['communication services', 'broadcasting', 'television services', 'media', 'advertising', 'consumer services', ""tv's"", 'entertainment']","['consumer defensive', 'beverages', 'alcoholic beverages']"
"['ecommerce', 'internet or mobile app based business', 'technology', 'software and it', 'business services', 'software products', 'retail', 'b2b services']","['energy', 'oil and gas', 'petrochemicals', 'natural gas generation', 'electricity generation', 'chemicals', 'plastics / plastic products']","['consumer defensive', 'fmcg', 'food products']"
"['consumer defensive', 'beverages', 'alcoholic beverages', 'food products', 'fmcg', 'food and beverage']","['technology', 'semiconductors', 'electronics', 'technology hardware and instruments']","['digital payment solution services', 'financial services', 'credit cards']"
"['healthcare', 'pharmaceutical', 'medical equipment', 'biotechnology', 'healthcare service', 'technology', 'healthcare products']","['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology', 'technology']","['healthcare', 'pharmaceutical', 'medical equipment']"
"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments']","['ecommerce', 'internet or mobile app based business', 'technology', 'software and it', 'business services', 'software products', 'retail', 'b2b services']","['ecommerce', 'internet or mobile app based business', 'technology']"
"['consumer defensive', 'fmcg', 'food products', 'beverages', 'dairy products', 'non-alcoholic beverages', 'chocolate & confectionery', 'coffee', 'consumer non durables', 'food and beverage', 'package foods']","['healthcare', 'pharmaceutical', 'medical equipment', 'biotechnology', 'healthcare service', 'technology', 'healthcare products']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['consumer defensive', 'fmcg', 'consumer non durables', 'beauty and personal care', 'personal care products', 'healthcare products']","['digital payment solution services', 'financial services', 'credit cards', 'technology', 'business services', 'artificial intelligence']","['technology', 'semiconductors', 'electronics']"
"['communication services', 'broadcasting', 'television services', 'media', 'advertising', 'consumer services', ""tv's"", 'entertainment']","['consumer defensive', 'fmcg', 'food products', 'beverages', 'dairy products', 'non-alcoholic beverages', 'chocolate & confectionery', 'coffee', 'consumer non durables', 'food and beverage', 'package foods']","['energy', 'oil and gas', 'petrochemicals']"
"['energy', 'oil and gas', 'petrochemicals', 'natural gas generation', 'electricity generation', 'chemicals', 'plastics / plastic products']","['consumer defensive', 'beverages', 'alcoholic beverages', 'food products', 'fmcg', 'food and beverage']","['communication services', 'broadcasting', 'television services']"
"['technology', 'electronics', 'semiconductors', 'processors / chips', 'networking products / solutions', 'network hardware and software', 'software products', 'software and it']","['technology', 'software and it', 'software products', 'software and it infrastructure', 'artificial intelligence']","['automobile', 'cars', 'capital goods']"
"['consumer defensive', 'cosmetics', 'beauty and personal care', 'fmcg', 'consumer non durables', 'consumer goods']","['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['consumer defensive', 'beverages', 'non-alcoholic beverages']"
"['technology', 'software and it', 'software products', 'software and it infrastructure', 'artificial intelligence']","['consumer cyclical', 'shoes', 'footwear', 'sports goods', 'consumer non durables']","['technology', 'network hardware and software', 'telecom equipment']"
"['consumer defensive', 'beverages', 'non-alcoholic beverages', 'fmcg', 'consumer non durables']","['consumer defensive', 'cosmetics', 'beauty and personal care', 'fmcg', 'consumer non durables', 'consumer goods']","['technology', 'electronics', 'semiconductors']"
"['communication services', 'internet or mobile app based business', 'ecommerce', 'technology', 'investments']","['financial services', 'banking services', 'investment banking']","['communication services', 'internet or mobile app based business', 'ecommerce']"
"['financial services', 'banking services', 'investment banking']","['communication services', 'internet or mobile app based business', 'ecommerce', 'technology', 'investments']","['financial services', 'banking services', 'investment banking']"
"['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['technology', 'electronics', 'semiconductors', 'processors / chips', 'networking products / solutions', 'network hardware and software', 'software products', 'software and it']","['consumer defensive', 'cosmetics', 'beauty and personal care']"
"['technology', 'network hardware and software', 'telecom equipment', 'internet of things', 'computers hardware', 'software and it', 'communications equipment']","['technology', 'network hardware and software', 'telecom equipment', 'internet of things', 'computers hardware', 'software and it', 'communications equipment']","['consumer cyclical', 'shoes', 'footwear']"
"['automobile', 'cars', 'capital goods', 'passenger vehicles']","['consumer defensive', 'beverages', 'non-alcoholic beverages', 'fmcg', 'consumer non durables']","['healthcare', 'pharmaceutical', 'biotechnology']"
"['consumer cyclical', 'shoes', 'footwear', 'sports goods', 'consumer non durables']","['automobile', 'cars', 'capital goods', 'passenger vehicles']","['technology', 'software and it', 'software products']"
"['communication services', 'electronics', 'internet or mobile app based business', 'media', 'advertising', 'television services', ""tv's"", 'entertainment', 'artificial intelligence']","['technology', 'software and it', 'software products', 'cloud services', 'software and it infrastructure']","['energy', 'oil and gas', 'chemicals']"
"['technology', 'software and it', 'software products', 'cloud services', 'software and it infrastructure']","['technology', 'software and it', 'software products', 'software consulting services', 'software outsourcing services', 'business services', 'consulting services', 'outsourcing and staffing', 'artificial intelligence']","['consumer defensive', 'beverages', 'food products']"
"['healthcare', 'medical equipment', 'pharmaceutical', 'technology hardware and instruments', 'electronics', 'software products', 'biotechnology', 'capital goods', 'machinery manufacturing', 'software and it', 'technology', 'manufacturing', 'health care diagnostics']","['consumer defensive', 'retail', 'ecommerce', 'food service', 'hypermarkets', 'consumer services', 'travel and transport']","['healthcare', 'pharmaceutical', 'biotechnology']"
"['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology', 'medical equipment']","['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['communication services', 'electronics', 'internet or mobile app based business']"
not found,"['healthcare', 'medical equipment', 'pharmaceutical', 'technology hardware and instruments', 'electronics', 'software products', 'biotechnology', 'capital goods', 'machinery manufacturing', 'software and it', 'technology', 'manufacturing', 'health care diagnostics']",[]
"['consumer defensive', 'beverages', 'food products', 'fmcg', 'consumer non durables', 'food and beverage', 'non-alcoholic beverages']",,"['healthcare', 'medical equipment', 'pharmaceutical']"
"['technology', 'software and it', 'software products', 'software consulting services', 'software outsourcing services', 'business services', 'consulting services', 'outsourcing and staffing', 'artificial intelligence']","['communication services', 'electronics', 'internet or mobile app based business', 'media', 'advertising', 'television services', ""tv's"", 'entertainment', 'artificial intelligence']","['healthcare', 'pharmaceutical', 'biotechnology']"
"['energy', 'oil and gas', 'chemicals', 'natural gas generation', 'petrochemicals', 'electricity generation']","['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology', 'medical equipment']","['consumer defensive', 'retail', 'ecommerce']"
"['consumer defensive', 'retail', 'ecommerce', 'food service', 'hypermarkets', 'consumer services', 'travel and transport']","['consumer defensive', 'beverages', 'food products', 'fmcg', 'consumer non durables', 'food and beverage', 'non-alcoholic beverages']","['technology', 'software and it', 'software products']"
"['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['energy', 'oil and gas', 'chemicals', 'natural gas generation', 'petrochemicals', 'electricity generation']","['technology', 'software and it', 'software products']"
"['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['healthcare', 'pharmaceutical', 'biotechnology']"
"['healthcare', 'medical equipment', 'healthcare products', 'machinery manufacturing', 'capital goods', 'technology', 'manufacturing', 'health care diagnostics']","['healthcare', 'pharmaceutical', 'animal healthcare companies', 'animal health medicine', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['communication services', 'television services', 'broadcasting']"
"['communication services', 'television services', 'broadcasting', 'telecom', 'internet providers', 'media', 'advertising', 'consumer services', 'entertainment', 'cable operator']","['healthcare', 'medical equipment', 'healthcare products', 'machinery manufacturing', 'capital goods', 'technology', 'manufacturing', 'health care diagnostics']","['communication services', 'telecom', 'fixed line service']"
"['financial services', 'banking services', 'insurance', 'credit cards', 'asset management']","['technology', 'software and it', 'technology hardware and instruments', 'processors / chips', 'computers hardware', 'semiconductors', 'mobiles & accessories', 'memory products', 'artificial intelligence', 'internet of things', 'electronics', 'consumer electronics', 'software products']","['technology', 'cloud services', 'artificial intelligence']"
"['healthcare', 'pharmaceutical', 'animal healthcare companies', 'animal health medicine', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['financial services', 'banking services', 'insurance', 'credit cards', 'asset management']","['energy', 'conglomerate', 'oil and gas']"
"['energy', 'conglomerate', 'oil and gas', 'chemicals', 'telecom', 'retail', 'petrochemicals', 'textile', 'ecommerce', 'super markets', 'technology']","['financial services', 'digital payment solution services', 'internet or mobile app based business', 'software products', 'business services', 'software and it']","['financial services', 'digital payment solution services', 'internet or mobile app based business']"
"['financial services', 'digital payment solution services', 'internet or mobile app based business', 'software products', 'business services', 'software and it']","['energy', 'conglomerate', 'oil and gas', 'chemicals', 'telecom', 'retail', 'petrochemicals', 'textile', 'ecommerce', 'super markets', 'technology']","['financial services', 'banking services', 'insurance']"
"['communication services', 'telecom', 'fixed line service', 'mobile services', 'internet providers', 'television services', 'media', 'advertising', 'utilities', 'telecom equipment']","['technology', 'cloud services', 'artificial intelligence', 'software products', 'software and it']","['technology', 'software and it', 'technology hardware and instruments']"
"['technology', 'cloud services', 'artificial intelligence', 'software products', 'software and it']","['communication services', 'telecom', 'fixed line service', 'mobile services', 'internet providers', 'television services', 'media', 'advertising', 'utilities', 'telecom equipment']","['healthcare', 'medical equipment', 'healthcare products']"
"['technology', 'software and it', 'technology hardware and instruments', 'processors / chips', 'computers hardware', 'semiconductors', 'mobiles & accessories', 'memory products', 'artificial intelligence', 'internet of things', 'electronics', 'consumer electronics', 'software products']","['communication services', 'television services', 'broadcasting', 'telecom', 'internet providers', 'media', 'advertising', 'consumer services', 'entertainment', 'cable operator']","['healthcare', 'pharmaceutical', 'animal healthcare companies']"
"['industries', 'batteries', 'automobile parts', 'electronics', 'technology', 'electric vehicles', 'electrical products']","['financial services', 'banking services']","['technology', 'semiconductors', 'electronics']"
"['financial services', 'banking services', 'asset management', 'credit cards']","['financial services', 'banking services', 'trading', 'brokerage services', 'wealth management', 'investments', 'asset management', 'stock markets, trading, capital markets']","['healthcare', 'pharmaceutical', 'biotechnology']"
"['industries', 'courier', 'logistics', 'transportation', 'freight transport']","['telecom', 'communication services', 'internet providers', 'mobile services', 'fixed line service', 'television services', 'media', 'advertising', 'utilities', 'telecom equipment']","['financial services', 'banking services', 'asset management']"
"['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['industries', 'courier', 'logistics', 'transportation', 'freight transport']","['consumer cyclical', 'restaurants', 'food products']"
"['consumer cyclical', 'restaurants', 'food products', 'non-alcoholic beverages', 'consumer services', 'entertainment', 'beverages']","['technology', 'software and it', 'software consulting services', 'software outsourcing services', 'software products', 'consulting services', 'outsourcing and staffing']","['industries', 'batteries', 'automobile parts']"
"['financial services', 'banking services']","['industries', 'batteries', 'automobile parts', 'electronics', 'technology', 'electric vehicles', 'electrical products']","['technology', 'software and it', 'software consulting services']"
"['financial services', 'banking services', 'trading', 'brokerage services', 'wealth management', 'investments', 'asset management', 'stock markets, trading, capital markets']","['consumer cyclical', 'restaurants', 'food products', 'non-alcoholic beverages', 'consumer services', 'entertainment', 'beverages']","['industries', 'courier', 'logistics']"
"['technology', 'software and it', 'software consulting services', 'software outsourcing services', 'software products', 'consulting services', 'outsourcing and staffing']","['financial services', 'banking services', 'asset management', 'credit cards']","['telecom', 'communication services', 'internet providers']"
"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments', 'telecom equipment', 'processors / chips', 'connectivity technology', 'artificial intelligence', 'internet of things', 'software products', 'software and it']","['healthcare', 'pharmaceutical', 'biotechnology', 'healthcare products', 'healthcare service', 'technology']","['financial services', 'banking services', 'trading']"
"['telecom', 'communication services', 'internet providers', 'mobile services', 'fixed line service', 'television services', 'media', 'advertising', 'utilities', 'telecom equipment']","['technology', 'semiconductors', 'electronics', 'technology hardware and instruments', 'telecom equipment', 'processors / chips', 'connectivity technology', 'artificial intelligence', 'internet of things', 'software products', 'software and it']","['financial services', 'banking services']"
"['basic materials', 'metals', 'mining', 'iron and steel', 'oil and gas', 'coal mining', 'copper mining', 'nickel', 'natural gas generation', 'precious metals']","['financial services', 'banking services', 'brokerage services', 'asset management', 'investments', 'stock markets, trading, capital markets']","['energy', 'oil and gas', 'chemicals']"
"['financial services', 'banking services', 'brokerage services', 'asset management', 'investments', 'stock markets, trading, capital markets']","['healthcare', 'pharmaceutical', 'biopharmaceutical', 'biotechnology', 'healthcare products', 'technology']","['healthcare', 'pharmaceutical', 'biopharmaceutical']"
"['basic materials', 'chemicals', 'industrial gases']","['energy', 'oil and gas', 'chemicals', 'natural gas generation', 'electricity generation', 'petrochemicals', 'electric vehicle charging station']","['financial services', 'banking services', 'brokerage services']"
"['healthcare', 'pharmaceutical', 'biopharmaceutical', 'biotechnology', 'healthcare products', 'technology']","['basic materials', 'metals', 'mining', 'iron and steel', 'oil and gas', 'coal mining', 'copper mining', 'nickel', 'natural gas generation', 'precious metals']","['consumer cyclical', 'luxury goods', 'retail']"
"['consumer cyclical', 'luxury goods', 'retail', 'fashion and luxury goods', 'beauty and personal care', 'home & furniture', 'home furnishing', 'shoes', 'jewellery', 'watches', 'leather products', 'fmcg', 'consumer goods']","['industries', 'freight transport', 'transportation', 'railway', 'railway vehicles and railway components', 'infrastructure']","['basic materials', 'chemicals', 'industrial gases']"
"['utilities', 'electricity generation', 'electric utilities', 'utilities', 'renewable energy', 'solar power', 'wind power', 'power generation', 'energy']","['technology', 'semiconductors', 'electronics', 'processors / chips', 'sensors']","['utilities', 'electricity generation', 'electric utilities']"
"['energy', 'oil and gas', 'chemicals', 'natural gas generation', 'electricity generation', 'petrochemicals', 'electric vehicle charging station']","['consumer cyclical', 'retail', 'home furnishing', 'home & furniture', 'consumer services']","['consumer cyclical', 'retail', 'home furnishing']"
"['industries', 'freight transport', 'transportation', 'railway', 'railway vehicles and railway components', 'infrastructure']","['utilities', 'electricity generation', 'electric utilities', 'utilities', 'renewable energy', 'solar power', 'wind power', 'power generation', 'energy']","['technology', 'semiconductors', 'electronics']"
"['technology', 'semiconductors', 'electronics', 'processors / chips', 'sensors']","['basic materials', 'chemicals', 'industrial gases']","['industries', 'freight transport', 'transportation']"
"['consumer cyclical', 'retail', 'home furnishing', 'home & furniture', 'consumer services']","['consumer cyclical', 'luxury goods', 'retail', 'fashion and luxury goods', 'beauty and personal care', 'home & furniture', 'home furnishing', 'shoes', 'jewellery', 'watches', 'leather products', 'fmcg', 'consumer goods']","['basic materials', 'metals', 'mining']"
"['consumer cyclical', 'internet or mobile app based business', 'software and it', 'retail', 'ecommerce']","['industries', 'software products', 'technology hardware and instruments', 'aerospace products', 'building automation', 'engineering products', 'automobile parts', 'electronics', 'robotics', 'automation', 'automobile', 'software and it', 'aerospace and defense', 'technology', 'space products']","['technology', 'software and it', 'software products']"
"['technology', 'electronics', 'mobiles', 'gaming', 'video games / mobile games / tech games / casino games', 'cameras & accessories', 'technology hardware and instruments', ""tv's"", 'consumer electronics', 'mobiles & accessories']","['financial services', 'banking services', 'insurance']","['financial services', 'banking services']"
"['technology', 'technology hardware and instruments', 'processors / chips', 'semiconductors', 'electronics']","['consumer defensive', 'tobacco products', 'cigarettes', 'agriculture products', 'fmcg', 'consumer non durables', 'tobacco and cigarette']","['technology', 'software and it', 'software products']"
"['industries', 'software products', 'technology hardware and instruments', 'aerospace products', 'building automation', 'engineering products', 'automobile parts', 'electronics', 'robotics', 'automation', 'automobile', 'software and it', 'aerospace and defense', 'technology', 'space products']","['technology', 'electronics', 'mobiles', 'gaming', 'video games / mobile games / tech games / casino games', 'cameras & accessories', 'technology hardware and instruments', ""tv's"", 'consumer electronics', 'mobiles & accessories']","['consumer cyclical', 'internet or mobile app based business', 'software and it']"
"['financial services', 'banking services', 'insurance']","['technology', 'technology hardware and instruments', 'processors / chips', 'semiconductors', 'electronics']","['financial services', 'banking services', 'wealth management']"
"['financial services', 'banking services', 'wealth management', 'asset management', 'credit cards', 'mortgage', 'insurance']","['financial services', 'banking services', 'wealth management', 'asset management', 'credit cards', 'mortgage', 'insurance']","['technology', 'technology hardware and instruments', 'processors / chips']"
"['consumer defensive', 'tobacco products', 'cigarettes', 'agriculture products', 'fmcg', 'consumer non durables', 'tobacco and cigarette']","['consumer cyclical', 'internet or mobile app based business', 'software and it', 'retail', 'ecommerce']","['technology', 'electronics', 'mobiles']"
"['financial services', 'banking services']","['technology', 'software and it', 'software products']","['consumer defensive', 'tobacco products', 'cigarettes']"
"['technology', 'software and it', 'software products', 'internet of things', 'cloud services']","['financial services', 'banking services']","['financial services', 'banking services', 'insurance']"
"['technology', 'software and it', 'software products']","['technology', 'software and it', 'software products', 'internet of things', 'cloud services']","['industries', 'software products', 'technology hardware and instruments']"
"['technology', 'software and it', 'software products', 'cloud services', 'ecommerce', 'internet or mobile app based business']","['healthcare', 'pharmacy', 'healthcare service', 'retail', 'healthcare products', 'insurance']","['financial services', 'banking services', 'insurance']"
"['technology', 'sensors', 'machinery manufacturing', 'technology hardware and instruments', 'electronics', 'manufacturing']","['energy', 'oil and gas', 'chemicals', 'natural gas generation', 'power generation', 'electricity generation', 'oil refining']","['energy', 'oil and gas', 'petrochemicals']"
"['energy', 'oil and gas', 'petrochemicals', 'natural gas generation', 'chemicals']","['industries', 'infrastructure', 'technology hardware and instruments', 'software and it', 'railway vehicles and railway components', 'engineering products', 'medical equipment', 'software products', 'security systems and solutions', 'artificial intelligence', 'machinery manufacturing', 'conglomerate', 'railway', 'technology', 'electric vehicle charging station']","['consumer cyclical', 'retail', 'luxury goods']"
"['consumer cyclical', 'retail', 'luxury goods', 'fashion and luxury goods', 'watches', 'beauty and personal care', 'leather products', 'jewellery', 'fmcg', 'consumer non durables', 'consumer goods']","['healthcare', 'pharmaceutical', 'biopharmaceutical', 'biotechnology', 'healthcare products', 'technology']","['technology', 'software and it', 'software products']"
"['energy', 'oil and gas', 'chemicals', 'natural gas generation', 'power generation', 'electricity generation', 'oil refining']","['healthcare', 'medical equipment', 'biotechnology', 'electronics', 'healthcare products', 'healthcare service', 'technology']","['technology', 'sensors', 'machinery manufacturing']"
"['healthcare', 'pharmaceutical', 'biopharmaceutical', 'biotechnology', 'healthcare products', 'technology']","['technology', 'sensors', 'machinery manufacturing', 'technology hardware and instruments', 'electronics', 'manufacturing']","['healthcare', 'medical equipment', 'biotechnology']"
"['healthcare', 'pharmacy', 'healthcare service', 'retail', 'healthcare products', 'insurance']","['technology', 'software and it', 'software products', 'cloud services', 'ecommerce', 'internet or mobile app based business']","['healthcare', 'pharmaceutical', 'biopharmaceutical']"
"['healthcare', 'medical equipment', 'biotechnology', 'electronics', 'healthcare products', 'healthcare service', 'technology']","['consumer cyclical', 'retail', 'luxury goods', 'fashion and luxury goods', 'watches', 'beauty and personal care', 'leather products', 'jewellery', 'fmcg', 'consumer non durables', 'consumer goods']","['industries', 'infrastructure', 'technology hardware and instruments']"
"['financial services', 'banking services', 'insurance']","['energy', 'oil and gas', 'petrochemicals', 'natural gas generation', 'chemicals']","['energy', 'oil and gas', 'chemicals']"
"['industries', 'infrastructure', 'technology hardware and instruments', 'software and it', 'railway vehicles and railway components', 'engineering products', 'medical equipment', 'software products', 'security systems and solutions', 'artificial intelligence', 'machinery manufacturing', 'conglomerate', 'railway', 'technology', 'electric vehicle charging station']","['financial services', 'banking services', 'insurance']","['healthcare', 'pharmacy', 'healthcare service']"
"['financial services', 'banking services', 'insurance', 'asset management']","['consumer defensive', 'fmcg', 'beauty and personal care', 'food products', 'home care products', 'consumer non durables']","['consumer defensive', 'fmcg', 'beauty and personal care']"
"['consumer cyclical', 'automobile', 'cars', 'commercial vehicles', 'sports vehicles', 'passenger vehicles']","['financial services', 'banking services', 'insurance', 'asset management']","['communication services', 'telecom', 'mobile services']"
"['financial services', 'banking services', 'credit cards', 'technology', 'digital payment solution services']","['power equipment', 'mobiles & accessories', 'semiconductors']","['financial services', 'banking services', 'insurance']"
"['financial services', 'banking services', 'insurance', 'asset management']","['consumer cyclical', 'automobile', 'cars', 'commercial vehicles', 'sports vehicles', 'passenger vehicles']","['financial services', 'asset management', 'investments']"
"['retail', 'super markets', 'hypermarkets']","['financial services', 'banking services', 'credit cards', 'technology', 'digital payment solution services']","['retail', 'super markets', 'hypermarkets']"
"['communication services', 'telecom', 'mobile services', 'internet providers', 'utilities', 'telecom equipment']","['industries', 'aerospace and defense', 'aerospace products', 'aircraft parts', 'defense products', 'elevators', 'escalators', 'building automation', 'security systems and solutions', 'capital goods', 'automation', 'space products']","['industries', 'aerospace and defense', 'aerospace products']"
"['consumer defensive', 'fmcg', 'beauty and personal care', 'food products', 'home care products', 'consumer non durables']","['retail', 'super markets', 'hypermarkets']","['financial services', 'banking services', 'credit cards']"
"['power equipment', 'mobiles & accessories', 'semiconductors']","['financial services', 'asset management', 'investments']","['consumer cyclical', 'automobile', 'cars']"
"['industries', 'aerospace and defense', 'aerospace products', 'aircraft parts', 'defense products', 'elevators', 'escalators', 'building automation', 'security systems and solutions', 'capital goods', 'automation', 'space products']","['financial services', 'banking services', 'insurance', 'asset management']","['power equipment', 'mobiles & accessories', 'semiconductors']"
"['financial services', 'asset management', 'investments']","['communication services', 'telecom', 'mobile services', 'internet providers', 'utilities', 'telecom equipment']","['financial services', 'banking services', 'insurance']"
"['financial services', 'banking services', 'asset management', 'investments', 'brokerage services', 'securities', 'stock markets, trading, capital markets']","['consumer cyclical', 'restaurants', 'retail', 'non-alcoholic beverages', 'coffee', 'beverages', 'consumer services']","['financial services', 'banking services', 'asset management']"
"['consumer defensive', 'alcoholic beverages', 'beverages']","['healthcare', 'pharmaceutical', 'healthcare products']","['consumer defensive', 'alcoholic beverages', 'beverages']"
